"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_278000","Autres","278000","account.data_account_type_non_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_281000","Amortissements des immobilisations incorporelles (même ventilation que celle du compte 21)","281000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_282000","Amortissements des immobilisations corporelles (même ventilation que celle du compte 22)","282000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_284000","Amortissements des immobilisations à statut juridique particulier","284000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_291000","Provisions pour dépréciation des immobilisations incorporelles (même ventilation que celle du compte 21)","291000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_292000","Provisions pour dépréciation des immobilisations corporelles (même ventilation que celle du compte 22)","292000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_293000","Provisions pour dépréciation des immobilisations en cours (même ventilation que celle du compte 23)","293000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_294000","Provisions pour dépréciation des immobilisations à statut juridique particulier","294000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_295000","Provisions pour dépréciation des participations et des créances liées à des participations (même ventilation que celle du compte 25)","295000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_296000","Provisions pour dépréciation des autres immobilisations financières (même ventilation que celle du compte 26)","296000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_311000","Matières premières","311000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_313000","Fournitures","313000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_317000","Autres","317000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_321000","Matières consommables","321000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_322000","Fournitures consommables","322000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_326000","Emballages","326000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_327000","Autres","327000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_331000","Produits en cours","331000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_335000","Travaux en cours","335000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_341000","Études en cours","341000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_345000","Prestations de services en cours","345000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_351000","Produits intermédiaires","351000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_355000","Produits finis","355000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_357000","Produits résiduels","357000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_370000","Stocks de marchandises","370000","account.data_account_type_current_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_390000","Provisions pour dépréciation des stocks (à ventiler selon la nomenclature","390000","account.data_account_type_depreciation","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_401100","Fournisseurs - Achats de biens et prestations de services","401100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_401700","Fournisseurs - Retenues de garantie","401700","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_403000","Fournisseurs d'exploitation - effets à payer","403000","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_404100","Fournisseurs - Achats d'immobilisations","404100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_404700","Fournisseurs d'immobilisations - Retenues de garantie","404700","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_405000","Fournisseurs d'immobilisations - Effets à payer","405000","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
